username,algorithm,hash
alice,sha256,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f
bob,bcrypt,$2b$12$ghkTZSI2fhNdCHWYwxb95e934mJrXcZbid5NcGv0WL7sSqbhcp3ZO
charlie,argon2,"$argon2id$v=19$m=65536,t=3,p=4$sjiEckg0SAeWmhOheAsvzQ$AcxhTwqIS+QNz5nxMlNvo6p2pP56rgDlH8/2joEZors"
david,sha256,a68349561396ec264a350847024a4521d00beaa3358660c2709a80f31c7acdd0
emma,bcrypt,$2b$12$reOh.qpDqwDSMGA23Pr4b.BwKYa8pEkXjHVoWbCSznD77/D1I/isC
frank,argon2,"$argon2id$v=19$m=65536,t=3,p=4$g+n+wCXzfLUWibwLDbHF4Q$RFFVTFvuqDbQew8gTXjlWNSyZSpXzPIMfbrYQoaC69o"
grace,sha256,9b0eb22aef89516d6fb4b31ccf008a68abe0d10a3fc606316389613eccf96854
henry,bcrypt,$2b$12$rNMzKVXh7Tvq0qmQHC9NSOFaStnDx/n0hdOuxgPdXFnIfVj/dTV9S
isabella,argon2,"$argon2id$v=19$m=65536,t=3,p=4$GyXKi415TuXH2Bo1Oxzhbg$0PHC3Z+KVKeIC5TVWG8E1UAD5NynTdIPosY8eYaMFok"
jack,sha256,816a4092660e4e87b5b584c4a51e7b33db2fb1b8f972578ef90c5ed7608e0f19
karen,bcrypt,$2b$12$d6qiBZnwjj6vPLElRbtGXOBa0shjFBSqBWEWXDyJeZDBwGafdv.ry
liam,argon2,"$argon2id$v=19$m=65536,t=3,p=4$f5+AIbruQJ+OXEQ3kjlltA$qiYNTkFcCeEsEmoQcetHRID5JSTKBx8lbS0HrqTZNwM"
mia,sha256,cede333b0ff2c5317c0b7030db6f46ffd24d2d2f2fb96f49ca9769cf4b3e15ad
noah,bcrypt,$2b$12$41fMNzH32anhWrl4jHMizOn9KF9Pg/rb47suQC9k1oPxUHQZrBTaW
olivia,argon2,"$argon2id$v=19$m=65536,t=3,p=4$KviukR3ExLj6VXE+yKN+Uw$mdYZLIu/uinhUw/E2JUgsBXsvt7OPuC7yX/4pqk1tYY"
ethan,sha256,4ebd3d5f714ffedf6d9375713a76f44d4429461c1d89e214e005fac689f6e881
ava,bcrypt,$2b$12$6.xPDIskKtKkLvcfbDvVyukwth8o2m7Bu/4PZR3fpQ93FZhmeM84u
lucas,argon2,"$argon2id$v=19$m=65536,t=3,p=4$af5NBSt+gLQglQ/3GUP3og$Qu9gJo4Y0v8kr/UZWDECUxKndMPU5KCP2KLP+ptW2LI"
sophia,sha256,6684f295e425b294e837372f4fb29160e2bb8c0c07c5d42057cc6b28fd676d05
logan,bcrypt,$2b$12$/00Vgsjitlu4H7nVdEyPpuF1CUhdIr4D.9nrtpu164CvO23EsV03q
amelia,argon2,"$argon2id$v=19$m=65536,t=3,p=4$M458PPUnfvwB2yTvVU/3sw$3goEWO0YQnwt7qOP6shj1lEOL+bliFilf7T1jurLUh0"
