username,password,algorithm
alice,password123,sha256
bob,football2024,bcrypt
charlie,dragon123,argon2
david,welcome123,sha256
emma,admin123,bcrypt
frank,soccer2025,argon2
grace,letmein123,sha256
henry,pokemon123,bcrypt
isabella,qwerty123,argon2
jack,sunshine123,sha256
karen,monkey123,bcrypt
liam,baseball123,argon2
mia,football123,sha256
noah,dragon2024,bcrypt
olivia,password2025,argon2
ethan,welcome2024,sha256
ava,batman123,bcrypt
lucas,superman123,argon2
sophia,pikachu123,sha256
logan,mario123,bcrypt
amelia,tennis123,argon2
james,liverpool123,sha256
harper,arsenal123,bcrypt
benjamin,chelsea123,argon2
evelyn,root123,sha256
mason,guest123,bcrypt
abigail,eagle123,argon2
elijah,wolf123,sha256
ella,falcon123,bcrypt
alexander,rabbit123,argon2
scarlett,minecraft123,sha256
daniel,fortnite123,bcrypt
victoria,valorant123,argon2
matthew,joker123,sha256
madison,thor123,bcrypt
jackson,ironman123,argon2
chloe,spiderman123,sha256
sebastian,avengers123,bcrypt
layla,password1234,argon2
aiden,qwerty2024,sha256
zoey,dragon2025,bcrypt
samuel,football2025,argon2
nora,admin2024,sha256
joseph,welcome2025,bcrypt
riley,pokemon2024,argon2
owen,monkey2025,sha256
lily,soccer123,bcrypt
gabriel,baseball2024,argon2
hannah,tennis2025,sha256
wyatt,minecraft2025,bcrypt
